Carta=Allmageddon | Tipo=Attack | Set=DOP | EfeitoOficial=Sem texto de habilidade impresso. | Funcionamento=Ataque sem texto adicional: aplica apenas os danos impressos (base/elementais) na resolução do ataque. | Dano={base:10,fire:10,water:10,air:10,earth:10,mugic:0,adicional:N/A,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Fire Ring | Tipo=Attack | Set=FUN | EfeitoOficial=When Fire Ring is played, deal 10 damage to your engaged Creature. | Funcionamento=Efeito oficial: "When Fire Ring is played, deal 10 damage to your engaged Creature.". Em regras, resolve na janela definida pelo texto, gerando: dealDamage. | Dano={base:0,fire:10,water:0,air:0,earth:0,mugic:0,adicional:deal:10,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:fire,disciplina:N/A,combate:N/A,alvo:creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=triggered_when_condition_occurs | Alvos=creature:engaged | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Funnel Blast | Tipo=Attack | Set=FUN | EfeitoOficial=Stat Check Speed 50: Deal 5 Damage. | Funcionamento=Efeito oficial: "Stat Check Speed 50: Deal 5 Damage.". Em regras, resolve na resolução do ataque, gerando: conditionalDamage. | Dano={base:0,fire:0,water:0,air:5,earth:5,mugic:0,adicional:conditionalDamage:5,dano_condicional_por_texto_do_ataque,janela:resolucao_do_ataque} | Condicoes={stat_check:Speed 50,challenge:N/A,elemento:N/A,disciplina:speed,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Gan'nim | Tipo=Creature | Set=FUN | EfeitoOficial=When any Creature engaged with Gan'nim fails a Stat Check or Challenge on an attack it played, deal 10 damage to it. | Funcionamento=Efeito oficial: "When any Creature engaged with Gan'nim fails a Stat Check or Challenge on an attack it played, deal 10 damage to it.". Em regras, resolve na janela definida pelo texto, gerando: dealDamage. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:deal:10,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:interacao_com_ataque,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=triggered_when_condition_occurs | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=General's Standard | Tipo=Battlegear | Set=FUN | EfeitoOficial=When General's Standard is flipped face-up, choose a Tribe. Equipped Creature is considered to belong to that Tribe while General's Standard is face-up. (This ability does not end at the end of the turn.) | Funcionamento=Efeito textual oficial sem parsing completo: "When General's Standard is flipped face-up, choose a Tribe. Equipped Creature is considered to belong to that Tribe while General's Standard is face-up. (This ability does not end at the end of the turn.)". Aplicar exatamente conforme o texto oficial e a janela indicada. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=triggered_when_condition_occurs | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=enquanto_condicao_for_verdadeira
Carta=Geyser Gush | Tipo=Attack | Set=FUN | EfeitoOficial=Stat Check Courage 50: Deal 5 Damage. | Funcionamento=Efeito oficial: "Stat Check Courage 50: Deal 5 Damage.". Em regras, resolve na resolução do ataque, gerando: conditionalDamage. | Dano={base:0,fire:0,water:5,air:0,earth:5,mugic:0,adicional:conditionalDamage:5,dano_condicional_por_texto_do_ataque,janela:resolucao_do_ataque} | Condicoes={stat_check:Courage 50,challenge:N/A,elemento:N/A,disciplina:courage,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Ghar'lag | Tipo=Creature | Set=FUN | EfeitoOficial=Discard a Mugic Card: Opposing Creatures lose and cannot gain Range and Swift. | Funcionamento=Efeito oficial: "Discard a Mugic Card: Opposing Creatures lose and cannot gain Range and Swift.". Em regras, resolve quando o custo é pago e a habilidade resolve, gerando: keyword. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:quando_habilidade_e_ativada} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:mugic,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:Discard a Mugic Card,sacrificio:nao,descarte:sim,passivo:nao,sem_custo:nao} | Classificacao=ativo,continuo | TriggerExato=activated_ability | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:gera_imunidade_ou_protecao,restricoes:impõe_restricoes} | ManipulacaoDeckMao=descartar | Duracao=continuo_enquanto_fonte_valida
Carta=Gigantroper | Tipo=Battlegear | Set=FUN | EfeitoOficial=At the beginning of combat, equipped Creature loses all abilities and gains or loses Courage, Power, Wisdom, Speed and Energy to make those values 70. | Funcionamento=Efeito textual oficial sem parsing completo: "At the beginning of combat, equipped Creature loses all abilities and gains or loses Courage, Power, Wisdom, Speed and Energy to make those values 70.". Aplicar exatamente conforme o texto oficial e a janela indicada. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:inicio_do_combate} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:courage,power,wisdom,speed,energy,combate:inicio_do_combate,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=triggered,continuo | TriggerExato=beginning_of_combat | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:altera_energy,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Glacier Plains, M'arrillian Heat Cannon | Tipo=Location | Set=FUN | EfeitoOficial=Remove 50 Mugic counters from among Creatures you control: Win the game. Any player can play this ability. | Funcionamento=Efeito textual oficial sem parsing completo: "Remove 50 Mugic counters from among Creatures you control: Win the game. Any player can play this ability.". Aplicar exatamente conforme o texto oficial e a janela indicada. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:mugic,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Glapaal | Tipo=Creature | Set=FUN | EfeitoOficial=MC: Heal 10 damage to target engaged Mipedian Creature and deal 10 damage to the opposing engaged Creature. | Funcionamento=Efeito oficial: "MC: Heal 10 damage to target engaged Mipedian Creature and deal 10 damage to the opposing engaged Creature.". Em regras, resolve quando o custo é pago e a habilidade resolve, gerando: dealDamage, healDamage. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:deal:10,janela:quando_habilidade_e_ativada} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:creature:self, creature:opposing_engaged, creature:engaged} | Custos={mc:0,ativacao:MC,sacrificio:nao,descarte:nao,passivo:nao,sem_custo:nao} | Classificacao=ativo | TriggerExato=activated_ability | Alvos=creature:self, creature:opposing_engaged, creature:engaged | Modificacoes={elementos:N/A,disciplinas:N/A,energy:altera_energy,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=conforme_texto_da_carta
Carta=Gorram, Danian General | Tipo=Creature | Set=FUN | EfeitoOficial=While your general discard pile has: An OverWorld Creature Card, your Creatures have Water 5. An UnderWorld Creature Card, your Creatures have Fire 5. A Mipedian Creature Card, your Creatures have Air 5. | Funcionamento=Efeito oficial: "While your general discard pile has: An OverWorld Creature Card, your Creatures have Water 5. An UnderWorld Creature Card, your Creatures have Fire 5. A Mipedian Creature Card, your Creatures have Air 5.". Em regras, resolve quando o custo é pago e a habilidade resolve, gerando: elementModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:quando_habilidade_e_ativada} | Condicoes={stat_check:N/A,challenge:N/A,elemento:water,fire,air,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:While your general discard pile has,sacrificio:nao,descarte:sim,passivo:nao,sem_custo:nao} | Classificacao=ativo,continuo | TriggerExato=activated_ability | Alvos=N/A | Modificacoes={elementos:concede/remove/modifica_elementos,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=descartar | Duracao=enquanto_condicao_for_verdadeira
Carta=Gorram's Briefing | Tipo=Location | Set=FUN | EfeitoOficial=At the beginning of combat, engaged Creatures gains 5 Energy and 5 to all Disciplines for each Tribe its controller controls. | Funcionamento=Efeito oficial: "At the beginning of combat, engaged Creatures gains 5 Energy and 5 to all Disciplines for each Tribe its controller controls.". Em regras, resolve no início do combate, gerando: beginCombatEnergy. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:inicio_do_combate} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:energy,combate:inicio_do_combate,alvo:creature:self, creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=triggered,continuo | TriggerExato=beginning_of_combat | Alvos=creature:self, creature:engaged | Modificacoes={elementos:N/A,disciplinas:N/A,energy:altera_energy,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Grantkae, Mipedian General | Tipo=Creature | Set=FUN | EfeitoOficial=On your turn, other Creatures you control have an additional: 25 in all Disciplines while you control an OverWorld Creature; Intimidate: Energy 10 while you control an UnderWorld Creature; Waterproof 25 while you control a Danian Creature. | Funcionamento=Efeito oficial: "On your turn, other Creatures you control have an additional: 25 in all Disciplines while you control an OverWorld Creature; Intimidate: Energy 10 while you control an UnderWorld Creature; Waterproof 25 while you control a Danian Creature.". Em regras, resolve na janela definida pelo texto, gerando: elementproof, intimidate. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:intimidate:10,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:energy,combate:N/A,alvo:creature:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:all | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:altera_energy,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=enquanto_condicao_for_verdadeira
Carta=Grantkae's Stance | Tipo=Attack | Set=FUN | EfeitoOficial=If you control: An OverWorld Creature, gain 10 Energy. An UnderWorld Creature, destroy all Battlegear equipped to the opposing engaged Creature. A Mipedian Creature, the next attack played this turn deals 10 less damage. A Danian Creature, deal 10 damage. | Funcionamento=Efeito oficial: "If you control: An OverWorld Creature, gain 10 Energy. An UnderWorld Creature, destroy all Battlegear equipped to the opposing engaged Creature. A Mipedian Creature, the next attack played this turn deals 10 less damage. A Danian Creature, deal 10 damage.". Em regras, resolve na resolução do ataque, sob condição, gerando: destroyBattlegear, dealDamage, statModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:deal:10,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:energy,combate:interacao_com_ataque,alvo:creature:opponent, creature:opposing_engaged, creature:engaged, battlegear:target} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate,continuo | TriggerExato=durante_resolucao_do_ataque_condicional | Alvos=creature:opponent, creature:opposing_engaged, creature:engaged, battlegear:target | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:altera_energy,keywords:N/A,battlegear:afeta_battlegear,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=ate_fim_do_turno
Carta=Gravel Grind | Tipo=Attack | Set=FUN | EfeitoOficial=Earth: When Gravel Grind deals damage, remove a card in a general discard pile from the game. | Funcionamento=Efeito oficial: "Earth: When Gravel Grind deals damage, remove a card in a general discard pile from the game.". Em regras, resolve na janela definida pelo texto, gerando: exileGeneralDiscardOnDamage. | Dano={base:5,fire:0,water:0,air:0,earth:5,mugic:0,adicional:N/A,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:earth,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:sim,passivo:sim,sem_custo:nao} | Classificacao=instantaneo,durante_combate,ativo | TriggerExato=triggered_when_condition_occurs | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=descartar | Duracao=instantaneo
Carta=Heartsync | Tipo=Attack | Set=FUN | EfeitoOficial=Stat Check Courage 75: Look at the top two cards of your opponent's Attack Deck. Put one on top of that deck and the other on the bottom. | Funcionamento=Efeito textual oficial sem parsing completo: "Stat Check Courage 75: Look at the top two cards of your opponent's Attack Deck. Put one on top of that deck and the other on the bottom.". Aplicar exatamente conforme o texto oficial e a janela indicada. | Dano={base:15,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:resolucao_do_ataque} | Condicoes={stat_check:Courage 75,challenge:N/A,elemento:N/A,disciplina:courage,combate:interacao_com_ataque,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=olhar_topo | Duracao=instantaneo
Carta=Hune Marquard, Brainwashed Scholar | Tipo=Creature | Set=FUN | EfeitoOficial=Danian Creatures you control can play OverWorld Mugic. | Funcionamento=Efeito oficial: "Danian Creatures you control can play OverWorld Mugic.". Em regras, resolve na janela definida pelo texto, gerando: canPlaySpecificTribeMugic. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:mugic,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Iflar's Improvisation | Tipo=Mugic | Set=FUN | EfeitoOficial=Target non-Mipedian Creature gains Invisibility: Strike 30. | Funcionamento=Efeito oficial: "Target non-Mipedian Creature gains Invisibility: Strike 30.". Em regras, resolve na janela definida pelo texto, gerando: invisibilityStrike. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:invisibilityStrike:30,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:creature:self} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:self | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=continuo_enquanto_fonte_valida
Carta=Illusion Glissando | Tipo=Mugic | Set=FUN | EfeitoOficial=Relocate target Mirage Location to any space . | Funcionamento=Efeito textual oficial sem parsing completo: "Relocate target Mirage Location to any space .". Aplicar exatamente conforme o texto oficial e a janela indicada. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=conforme_texto_da_carta
Carta=Indigo Sash | Tipo=Battlegear | Set=FUN | EfeitoOficial=Equipped Creature has an additional 40 Speed and 5 Energy. | Funcionamento=Efeito oficial: "Equipped Creature has an additional 40 Speed and 5 Energy.". Em regras, resolve na janela definida pelo texto, gerando: statModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:speed,energy,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:altera_energy,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Inner Flood | Tipo=Attack | Set=FUN | EfeitoOficial=Water: Remove a Mugic counter from a Creature, if you do put a Mugic counter on another Creature controlled by the same player. (You must choose a Creature that can have Mugic counters put on it.) | Funcionamento=Efeito oficial: "Water: Remove a Mugic counter from a Creature, if you do put a Mugic counter on another Creature controlled by the same player. (You must choose a Creature that can have Mugic counters put on it.)". Em regras, resolve na resolução do ataque, sob condição, gerando: mugicCounterModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:water,disciplina:mugic,combate:N/A,alvo:creature:self} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque_condicional | Alvos=creature:self | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=instantaneo
Carta=Instantaneous Inspiration | Tipo=Attack | Set=FUN | EfeitoOficial=Stat Check Wisdom 60: Deal 10 damage. Stat Check Speed 60: Deal 10 damage. | Funcionamento=Efeito oficial: "Stat Check Wisdom 60: Deal 10 damage. Stat Check Speed 60: Deal 10 damage.". Em regras, resolve na resolução do ataque, gerando: conditionalDamage. | Dano={base:5,fire:0,water:0,air:0,earth:0,mugic:0,adicional:conditionalDamage:10,conditionalDamage:10,dano_condicional_por_texto_do_ataque,janela:resolucao_do_ataque} | Condicoes={stat_check:Wisdom 60; Speed 60,challenge:N/A,elemento:N/A,disciplina:wisdom,speed,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Interthink | Tipo=Attack | Set=FUN | EfeitoOficial=Stat Check Wisdom 75: You can put a Mugic counter on any Creature. | Funcionamento=Efeito oficial: "Stat Check Wisdom 75: You can put a Mugic counter on any Creature.". Em regras, resolve na resolução do ataque, gerando: mugicCounterModifier. | Dano={base:15,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:resolucao_do_ataque} | Condicoes={stat_check:Wisdom 75,challenge:N/A,elemento:N/A,disciplina:wisdom,mugic,combate:N/A,alvo:creature:self} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=creature:self | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Intertwined Melody | Tipo=Mugic | Set=FUN | EfeitoOficial=Target Creature engaged with a non-UnderWorld Creature you control loses an Elemental Type of your choice and loses 30 to all Disciplines. | Funcionamento=Efeito textual oficial sem parsing completo: "Target Creature engaged with a non-UnderWorld Creature you control loses an Elemental Type of your choice and loses 30 to all Disciplines.". Aplicar exatamente conforme o texto oficial e a janela indicada. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:creature:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:all | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=conforme_texto_da_carta
